OBJECTID *,Shape *,Join_Count,TARGET_FID,F_id,access,amenity,covered,fee,parking,surface,wheelchair,F_timestamp,F_version,F_changeset,F_user,F_uid,OBJECTID_1,SPI_Type,County,Real_Property_Number,Real_Property_Name,Address,City,State,Zip_Code,Agency,Total_Fee_Acreage,Total_SF_of_Structures,Latitude,Longitude,Elevation,Shape_Length,Shape_Area
1,Polygon Z,1,74,way/1051632470,yes,parking,no,no,surface,asphalt,limited,2023-03-23T16:29:59Z,2,134030710,kfinger,6981414,1929,Real Property,SAN LUIS OBISPO,1140,MORRO BAY SP, STATE PARK ROAD,MORRO BAY,CA,93442,"PARKS & RECREATION, DEPT OF",2208.43,36911,35.346915,-120.843302,24.23,171.196295,1527.985471
2,Polygon Z,1,80,way/264963980,yes,parking,no,no,surface,dirt,limited,2014-03-07T21:50:35Z,1,20978432,chadbunn,1058653,1925,Real Property,SAN LUIS OBISPO,1008,CAYUCOS SB, CAYUCOS DRIVE AND,CAYUCOS,CA,93430,"PARKS & RECREATION, DEPT OF",15.63,7560,35.449451,-120.906679,9.33,337.872063,5314.61761
3,Polygon Z,1,290,way/348449301,customers,parking,no,no,surface,unpaved,yes,2015-12-02T20:46:33Z,2,35714541,JonCPSU,2023795,1970,Real Property,SAN LUIS OBISPO,11240,HARMONY HEADLANDS STATE PARK,,UNINCORP - SAN LUIS OBISPO CO,CA,0,"PARKS & RECREATION, DEPT OF",748.3,0,35.477869,-120.992133,68,117.33875,818.523918
4,Polygon Z,1,326,way/45676459,yes,parking,no,yes,surface,dirt,yes,2019-04-06T07:00:57Z,7,68944759,Adam Schneider,5403394,1120,Real Property,MONTEREY,954,ANDREW MOLERA SP,MM 51.20 HIGHWAY 1,BIG SUR,CA,93920,"PARKS & RECREATION, DEPT OF",4766.08,10548,36.287093,-121.843515,38.41,401.944393,7597.470917
5,Polygon Z,1,537,way/588238521,customers,parking,no,yes,surface,unpaved,yes,2018-05-14T23:07:16Z,1,58967415,jbinthekc,8133646,1139,Real Property,MONTEREY,772,KING CITY AREA,2 BROADWAY CIRCLE,KING CITY,CA,93930,"HIGHWAY PATROL, DEPT OF THE CALIF",0.7,1848,36.203348,-121.134822,307.92,141.414976,898.696965
6,Polygon Z,1,599,way/30485470,customers,parking,no,no,surface,dirt,yes,2020-11-16T17:22:34Z,3,94216789,mtCSC,11498190,1987,Real Property,SAN MATEO,1136,MONTARA SB, HIGHWAY 1,MONTARA,CA,94037,"PARKS & RECREATION, DEPT OF",952.47,15060,37.551691,-122.512434,67.39,254.29821,4179.340329
7,Polygon Z,1,616,way/37363211,customers,parking,no,yes,surface,asphalt,yes,2020-08-09T10:22:08Z,8,89149224,SomeoneElse2,490556,1991,Real Property,SAN MATEO,11345,LINDA MAR PARK AND RIDE, 0.12 MI NE OF SR 1,PACIFICA,CA,94015,"TRANSPORTATION, DEPT OF",1.7,0,37.595337,-122.502346,11.61,471.506055,8383.0156
8,Polygon Z,1,619,way/102526760,fee,parking,no,yes,surface,asphalt,yes,2020-11-25T08:47:47Z,7,94759004,Minh Nguyen,33757,1990,Real Property,SAN MATEO,11340,CRESPI PARK AND RIDE, SE QUAD SR 1,PACIFICA,CA,94044,"TRANSPORTATION, DEPT OF",1,0,37.599191,-122.499951,17.38,370.145724,6778.45097
9,Polygon Z,1,942,way/105026966,private,parking,no,no,surface,asphalt,yes,2022-02-19T09:18:41Z,6,117596072,Jorisbo,1983103,949,Real Property,MARIN,11832,SPENCER PARK AND RIDE, E & W OF RTE 101,SAUSALITO,CA,94965,"TRANSPORTATION, DEPT OF",16.62,0,37.851858,-122.490295,590.91,178.684751,1784.911587
10,Polygon Z,1,1098,way/398638756,private,parking,no,no,surface,asphalt,yes,2018-09-30T04:44:32Z,2,63053235,oba510,933797,930,Real Property,MARIN,11826,SEMINARY PARK AND RIDE, W. & E. OF RTE 101,MILL VALLEY,CA,94901,"TRANSPORTATION, DEPT OF",9.9,0,37.888935,-122.516297,7.57,214.740687,1377.922672
11,Polygon Z,1,1200,way/245275980,customers,parking,no,yes,surface,asphalt,yes,2021-04-06T06:45:33Z,3,102377103,KindredCoda,14293,924,Real Property,MARIN,893,CORTE MADERA OFFICE BUILDING,75 TAMAL VISTA BLVD,CORTE MADERA,CA,94925,"MOTOR VEHICLES, DEPT OF",1.85,6894,37.9347,-122.517727,14,306.360249,5854.760452
12,Polygon Z,1,1247,way/826843275,private,parking,no,Mo-Sa 08:00-18:00,surface,asphalt,yes,2020-08-01T07:06:44Z,2,88808168,PritamSarang,11460235,946,Real Property,MARIN,11830,MISSION AVE. PARK AND RIDE, UNDER RTE 101,SAN RAFAEL,CA,94901,"TRANSPORTATION, DEPT OF",1.02,0,37.974034,-122.520685,19.77,226.331166,2809.9255
13,Polygon Z,1,1274,way/230170454,yes,parking,no,no,surface,asphalt,yes,2013-07-17T01:02:09Z,2,16981568,barte,37067,958,Real Property,MARIN,2367,WHITE HOUSE POOL PA,,UNINCORP - MARIN CO,CA,0,"FISH AND WILDLIFE, CA DEPT OF",12,0,38.062182,-122.816776,11,163.653117,1678.970002
14,Polygon Z,1,1342,way/106211560,fee,parking,no,no,surface,asphalt,yes,2020-07-31T14:47:08Z,6,88787864,PritamSarang,11460235,944,Real Property,MARIN,11344,LINCOLN PARK AND RIDE, NW QUAD LINCOLN AVE,SAN RAFAEL,CA,94901,"TRANSPORTATION, DEPT OF",0.4,0,37.988004,-122.528171,165.52,231.786618,2184.584118
15,Polygon Z,1,1404,way/106211535,private,parking,no,no,surface,asphalt,yes,2020-07-31T14:47:08Z,5,88787864,PritamSarang,11460235,947,Real Property,MARIN,11831,SMITH RANCH PARK AND RIDE, SE QUAD RTE 101,SAN RAFAEL,CA,94903,"TRANSPORTATION, DEPT OF",15.05,0,38.019784,-122.536984,15.03,462.74933,12551.43966
16,Polygon Z,1,1457,way/106211472,customers,parking,no,no,surface,asphalt,yes,2020-07-31T14:47:08Z,5,88787864,PritamSarang,11460235,936,Real Property,MARIN,11827,ALAMEDA DEL PRADO PARK AND RIDE, N.W. OF RTE 101,NOVATO,CA,94949,"TRANSPORTATION, DEPT OF",10.85,0,38.048577,-122.533001,105.8,315.392261,6472.620496
